"label","n_annotations"
"-",500
"Acrocephalus arundinaceus",500
"Acrocephalus melanopogon",500
"Botaurus stellaris",500
"Dryobates minor",500
"Epidalea calamita",500
"Himantopus himantopus",500
"Ixobrychus minutus",500
"Pelodytes punctatus",500
"Rana temporaria",500
"Voix",500
"Acrocephalus scirpaceus",499
"Hyla meridionalis",498
"Pelophylax kl.",497
"Gryllus campestris",495
"Alcedo atthis",477
"Vent",476
"Non identifié",467
"Micro",462
"Motacilla flava",453
"Pteronemobius heydenii",405
"Charadrius alexandrinus",394
"Fulica atra",391
"Tettigonia viridissima",388
"Déplacement",387
"Oecanthus pellucens",375
"Canis familiaris",359
"Circus aeruginosus",339
"Ruspolia nitidula",335
"Eumodicogryllus bordigalensis",307
"Coracias garrulus",300
"Gallinula chloropus",284
"Bombina variegata",271
"Voiture",255
"Porphyrio porphyrio",249
"Tachybaptus ruficollis",247
"Cicada orni",240
"Avion",232
"Ardea purpurea",225
"Mouche",225
"Pseudochorthippus parallelus",225
"Ciconia ciconia",217
"Decticus albifrons",215
"Ephippiger diurnus",193
"Metrioptera saussuriana",182
"Roeseliana roeselii",176
"Tylopsis lilifolia",172
"Uromenus rugosicollis",170
"Pholidoptera griseoaptera",164
"Tettigonia cantans",160
"Zeuneriana abbreviata",160
"Anas strepera",153
"Gryllotalpa gryllotalpa",152
"Gryllus bimaculatus",151
"Rana dalmatina",146
"Platycleis albopunctata",143
"Cloche",130
"Pluie",129
"Decticus verrucivorus",127
"Omocestus rufipes",125
"Tettigettalna argentata",122
"Chorthippus biguttulus",121
"Anas platyrhynchos",117
"Nemobius sylvestris",115
"Euchorthippus elegantulus",109
"Pelophylax perezi",107
"Gomphocerippus mollis",104
